k2time,count,eflux,filt,upperlimit,time,flux
3330.595102,3026.206897,19.751176,kepler,F,58163.095102,-9.04744836000145
3330.615536,3053.746488,19.782537,kepler,F,58163.115536,18.4921426399987
3330.63597,3048.228494,19.765777,kepler,F,58163.13597,12.9741486399985
3330.656403,3065.697246,19.79461,kepler,F,58163.156403,30.4429006399987
3330.676837,3057.785437,19.782934,kepler,F,58163.176837,22.5310916399985
3330.69727,3061.756289,19.79215,kepler,F,58163.19727,26.5019436399984
3330.717704,3051.18476,19.777331,kepler,F,58163.217704,15.9304146399986
3330.738137,3045.581266,19.767423,kepler,F,58163.238137,10.3269206399987
3330.779005,3048.173196,19.77201,kepler,F,58163.279005,12.9188506399987
3330.799438,3030.150503,19.753777,kepler,F,58163.299438,-5.10384236000164
3330.819872,3054.513414,19.781323,kepler,F,58163.319872,19.2590686399985
3330.840305,3061.147008,19.789419,kepler,F,58163.340305,25.8926626399984
3330.860739,3058.614427,19.787801,kepler,F,58163.360739,23.3600816399985
3330.881173,3026.97237,19.746288,kepler,F,58163.381173,-8.28197536000153
3330.901606,3030.046502,19.764445,kepler,F,58163.401606,-5.20784336000133
3330.92204,3060.69009,19.774769,kepler,F,58163.42204,25.4357446399986
3330.942474,3044.961663,19.758754,kepler,F,58163.442474,9.70731763999856
3330.962907,3075.907851,19.79485,kepler,F,58163.462907,40.6535056399985
3330.983341,3033.403396,19.7431,kepler,F,58163.483341,-1.85094936000132
3331.003774,3057.593309,19.770495,kepler,F,58163.503774,22.3389636399984
3331.024208,3041.273967,19.763081,kepler,F,58163.524208,6.0196216399986
3331.044641,3041.841834,19.758732,kepler,F,58163.544641,6.58748863999836
3331.085509,3043.27763,19.757021,kepler,F,58163.585509,8.02328463999857
3331.105942,3041.031471,19.764315,kepler,F,58163.605942,5.7771256399983
3331.126376,3065.466212,19.783927,kepler,F,58163.626376,30.2118666399983
3331.14681,3048.5191,19.756402,kepler,F,58163.64681,13.2647546399985
3331.167243,3031.918528,19.742032,kepler,F,58163.667243,-3.33581736000133
3331.187677,3039.612939,19.751348,kepler,F,58163.687677,4.35859363999862
3331.20811,3043.109255,19.745749,kepler,F,58163.70811,7.85490963999837
3331.228544,3030.555166,19.739047,kepler,F,58163.728544,-4.69917936000138
3331.248978,3033.683547,19.739347,kepler,F,58163.748978,-1.57079836000139
3331.269411,3036.83533,19.744816,kepler,F,58163.769411,1.58098463999841
3331.289845,3035.596491,19.739534,kepler,F,58163.789845,0.342145639998307
3331.310278,3037.709801,19.746253,kepler,F,58163.810278,2.45545563999849
3331.330712,3036.170459,19.743871,kepler,F,58163.830712,0.916113639998457
3331.351146,3028.736397,19.729643,kepler,F,58163.851146,-6.51794836000136
3331.371579,3035.81877,19.740335,kepler,F,58163.871579,0.564424639998379
3331.392013,3064.810658,19.77093,kepler,F,58163.892013,29.5563126399984
3331.412446,3055.036487,19.76438,kepler,F,58163.912446,19.7821416399984
3331.43288,2999.252457,19.707003,kepler,F,58163.93288,-36.0018883600014
3331.453314,3020.820136,19.723965,kepler,F,58163.953314,-14.4342093600017
3331.473747,3051.086542,19.761231,kepler,F,58163.973747,15.8321966399985
3331.494181,3023.475398,19.730875,kepler,F,58163.994181,-11.7789473600014
3331.514614,3051.8747,19.754652,kepler,F,58164.014614,16.6203546399984
3331.535048,3036.438702,19.734661,kepler,F,58164.035048,1.18435663999844
3331.555482,3054.458369,19.759628,kepler,F,58164.055482,19.2040236399985
3331.596349,3014.122398,19.711244,kepler,F,58164.096349,-21.1319473600015
3331.616782,3045.159202,19.742304,kepler,F,58164.116782,9.90485663999834
3331.637216,3029.675121,19.719344,kepler,F,58164.137216,-5.57922436000126
3331.65765,3045.288843,19.733216,kepler,F,58164.15765,10.0344976399983
3331.678083,3047.73253,19.747187,kepler,F,58164.178083,12.4781846399987
3331.698517,3039.399674,19.732873,kepler,F,58164.198517,4.1453286399983
3331.739384,3033.249261,19.733587,kepler,F,58164.239384,-2.00508436000155
3331.759818,3050.102691,19.747827,kepler,F,58164.259818,14.8483456399986
3331.780251,3066.296502,19.760187,kepler,F,58164.280251,31.0421566399987
3331.800685,3076.505156,19.770084,kepler,F,58164.300685,41.2508106399987
3331.821118,3041.099899,19.735081,kepler,F,58164.321118,5.84555363999834
3331.841552,3022.777087,19.708513,kepler,F,58164.341552,-12.4772583600015
3331.861986,3060.595895,19.752087,kepler,F,58164.361986,25.3415496399984
3331.902853,3027.824332,19.724976,kepler,F,58164.402853,-7.43001336000134
3331.923286,3045.321336,19.725874,kepler,F,58164.423286,10.0669906399985
3331.94372,3042.436567,19.736348,kepler,F,58164.44372,7.18222163999872
3331.964154,3021.329451,19.704875,kepler,F,58164.464154,-13.9248943600014
3331.984587,3039.193707,19.734543,kepler,F,58164.484587,3.93936163999842
3332.005021,3060.680958,19.754844,kepler,F,58164.505021,25.4266126399984
3332.025454,3063.135334,19.750542,kepler,F,58164.525454,27.8809886399986
3332.045888,3014.604367,19.708762,kepler,F,58164.545888,-20.6499783600016
3332.066322,3034.903235,19.722461,kepler,F,58164.566322,-0.351110360001257
3332.086755,3023.824715,19.70785,kepler,F,58164.586755,-11.4296303600013
3332.107189,3047.636559,19.726534,kepler,F,58164.607189,12.3822136399986
3332.127622,3039.385871,19.733828,kepler,F,58164.627622,4.13152563999847
3332.148056,3036.906449,19.721196,kepler,F,58164.648056,1.65210363999859
3332.16849,3031.785005,19.721299,kepler,F,58164.66849,-3.4693403600013
3332.188923,3029.651381,19.724711,kepler,F,58164.688923,-5.60296436000135
3332.209357,3048.381412,19.729981,kepler,F,58164.709357,13.1270666399987
3332.22979,3045.893219,19.729998,kepler,F,58164.72979,10.6388736399986
3332.250224,3035.247083,19.71099,kepler,F,58164.750224,-0.007262360001278
3332.270658,3042.797775,19.725069,kepler,F,58164.770658,7.54342963999852
3332.291091,3041.086695,19.708153,kepler,F,58164.791091,5.83234963999848
3332.311525,3032.404515,19.710655,kepler,F,58164.811525,-2.84983036000131
3332.331958,3013.150497,19.68494,kepler,F,58164.831958,-22.1038483600014
3332.352392,2972.018753,19.642387,kepler,F,58164.852392,-63.2355923600017
3332.372826,3027.829487,19.708128,kepler,F,58164.872826,-7.42485836000151
3332.393259,3039.384904,19.72086,kepler,F,58164.893259,4.13055863999853
3332.413693,3040.593144,19.709292,kepler,F,58164.913693,5.33879863999846
3332.434126,3043.666122,19.71227,kepler,F,58164.934126,8.41177663999861
3332.45456,3034.955371,19.697377,kepler,F,58164.95456,-0.298974360001466
3332.474994,3035.18947,19.705645,kepler,F,58164.974994,-0.064875360001679
3332.495427,3039.492145,19.704906,kepler,F,58164.995427,4.23779963999868
3332.515861,3043.018968,19.712112,kepler,F,58165.015861,7.76462263999838
3332.536294,3008.171503,19.669562,kepler,F,58165.036294,-27.0828423600015
3332.556728,3041.358272,19.707861,kepler,F,58165.056728,6.10392663999846
3332.577162,3044.700348,19.703284,kepler,F,58165.077162,9.44600263999837
3332.597595,3042.21075,19.706067,kepler,F,58165.097595,6.95640463999871
3332.618029,3019.139135,19.680419,kepler,F,58165.118029,-16.1152103600016
3332.638462,3034.140663,19.702442,kepler,F,58165.138462,-1.11368236000135
3332.658896,3019.921041,19.674279,kepler,F,58165.158896,-15.3333043600014
3332.67933,3033.986613,19.688663,kepler,F,58165.17933,-1.26773236000145
3332.699763,2995.465132,19.646919,kepler,F,58165.199763,-39.7892133600017
3332.720197,3039.607922,19.698865,kepler,F,58165.220197,4.35357663999866
3332.74063,3048.64324,19.711701,kepler,F,58165.24063,13.3888946399984
3332.761064,3029.046821,19.695215,kepler,F,58165.261064,-6.20752436000157
3332.781498,3021.35274,19.674051,kepler,F,58165.281498,-13.9016053600017
3332.801931,3042.773619,19.702983,kepler,F,58165.301931,7.51927363999857
3332.822365,3027.479622,19.679403,kepler,F,58165.322365,-7.77472336000164
3332.842798,3029.041497,19.695003,kepler,F,58165.342798,-6.21284836000132
3332.863232,3036.649142,19.692502,kepler,F,58165.363232,1.39479663999873
3332.883666,3054.764461,19.710159,kepler,F,58165.383666,19.5101156399987
3332.904099,3031.348229,19.681765,kepler,F,58165.404099,-3.90611636000131
3332.924533,3043.534383,19.700041,kepler,F,58165.424533,8.28003763999868
3332.944967,3043.640276,19.700634,kepler,F,58165.444967,8.38593063999861
3332.9654,3025.592163,19.684836,kepler,F,58165.4654,-9.66218236000168
3332.985834,3048.084971,19.704291,kepler,F,58165.485834,12.8306256399987
3333.006267,3060.659745,19.717351,kepler,F,58165.506267,25.4053996399985
3333.067568,3028.552033,19.677047,kepler,F,58165.567568,-6.70231236000154
3333.088002,3037.222218,19.679726,kepler,F,58165.588002,1.9678726399984
3333.108435,3018.73996,19.658915,kepler,F,58165.608435,-16.5143853600016
3333.128869,3034.558438,19.688804,kepler,F,58165.628869,-0.695907360001456
3333.149302,3035.596509,19.67953,kepler,F,58165.649302,0.342163639998489
3333.19017,3026.988575,19.679546,kepler,F,58165.69017,-8.26577036000163
3333.210603,3029.611482,19.681261,kepler,F,58165.710603,-5.64286336000168
3333.231037,3038.418086,19.685886,kepler,F,58165.731037,3.16374063999865
3333.251471,3033.748266,19.680328,kepler,F,58165.751471,-1.50607936000142
3333.271904,3029.30954,19.670443,kepler,F,58165.771904,-5.94480536000128
3333.292338,3023.145147,19.657717,kepler,F,58165.792338,-12.1091983600013
3333.312771,3026.452554,19.671482,kepler,F,58165.812771,-8.80179136000152
3333.333205,3034.450488,19.67877,kepler,F,58165.833205,-0.80385736000153
3333.353638,3021.24397,19.669257,kepler,F,58165.853638,-14.0103753600015
3333.374072,3034.137645,19.679283,kepler,F,58165.874072,-1.11670036000169
3333.394506,3030.702986,19.680066,kepler,F,58165.894506,-4.5513593600017
3333.414939,3038.872066,19.683899,kepler,F,58165.914939,3.61772063999842
3333.435373,3011.882702,19.650542,kepler,F,58165.935373,-23.3716433600016
3333.455807,3034.81551,19.675255,kepler,F,58165.955807,-0.438835360001576
3333.47624,3046.614243,19.687358,kepler,F,58165.97624,11.3598976399985
3333.496674,3055.463567,19.694084,kepler,F,58165.996674,20.2092216399983
3333.517107,3021.157864,19.656684,kepler,F,58166.017107,-14.0964813600017
3333.537541,3047.079999,19.699792,kepler,F,58166.037541,11.8256536399986
3333.557975,3035.682276,19.671474,kepler,F,58166.057975,0.427930639998522
3333.598842,3041.883457,19.683378,kepler,F,58166.098842,6.62911163999843
3333.619275,3020.844792,19.662336,kepler,F,58166.119275,-14.4095533600016
3333.639709,3039.058838,19.679087,kepler,F,58166.139709,3.80449263999844
3333.660142,3043.555747,19.681534,kepler,F,58166.160142,8.3014016399984
3333.680576,3034.194466,19.680285,kepler,F,58166.180576,-1.05987936000156
3333.70101,3025.447022,19.663485,kepler,F,58166.20101,-9.80732336000165
3333.721443,3054.495529,19.693624,kepler,F,58166.221443,19.2411836399983
3333.741877,3027.430122,19.668178,kepler,F,58166.241877,-7.82422336000127
3333.782744,3039.094969,19.671868,kepler,F,58166.282744,3.84062363999874
3333.803178,3056.505188,19.693554,kepler,F,58166.303178,21.2508426399986
3333.823611,3028.080325,19.668346,kepler,F,58166.323611,-7.17402036000158
3333.844045,3027.550742,19.666171,kepler,F,58166.344045,-7.70360336000158
3333.864479,3039.333919,19.681683,kepler,F,58166.364479,4.07957363999867
3333.884912,3052.783792,19.684531,kepler,F,58166.384912,17.5294466399987
3333.905346,3045.384877,19.672837,kepler,F,58166.405346,10.1305316399985
3333.925779,3048.616864,19.681933,kepler,F,58166.425779,13.3625186399986
3333.946213,3036.161173,19.663332,kepler,F,58166.446213,0.906827639998483
3333.966647,3007.464669,19.644283,kepler,F,58166.466647,-27.7896763600015
3333.98708,3032.367261,19.662315,kepler,F,58166.48708,-2.88708436000161
3334.027947,3028.728541,19.667799,kepler,F,58166.527947,-6.52580436000153
3334.048381,3024.750685,19.658872,kepler,F,58166.548381,-10.5036603600015
3334.068815,3037.904969,19.671207,kepler,F,58166.568815,2.65062363999868
3334.089248,3033.476826,19.673584,kepler,F,58166.589248,-1.77751936000141
3334.130115,3038.570841,19.667728,kepler,F,58166.630115,3.31649563999872
3334.150549,3036.581547,19.683168,kepler,F,58166.650549,1.32720163999829
3334.170983,3037.980551,19.66692,kepler,F,58166.670983,2.72620563999862
3334.21185,3036.456871,19.671728,kepler,F,58166.71185,1.20252563999838
3334.232283,3053.749185,19.685679,kepler,F,58166.732283,18.4948396399986
3334.273151,3046.518554,19.665011,kepler,F,58166.773151,11.2642086399987
3334.293584,3034.350284,19.667639,kepler,F,58166.793584,-0.904061360001379
3334.314018,3016.910176,19.64862,kepler,F,58166.814018,-18.3441693600016
3334.334451,3029.835659,19.665031,kepler,F,58166.834451,-5.41868636000163
3334.354885,3038.068245,19.67166,kepler,F,58166.854885,2.81389963999845
3334.375319,3022.375039,19.643749,kepler,F,58166.875319,-12.8793063600015
3334.395752,3028.490446,19.660749,kepler,F,58166.895752,-6.76389936000169
3334.416186,3022.415463,19.646007,kepler,F,58166.916186,-12.8388823600017
3334.436619,3023.247055,19.637802,kepler,F,58166.936619,-12.0072903600017
3334.457053,3032.064414,19.66517,kepler,F,58166.957053,-3.18993136000154
3334.477487,3014.561208,19.633123,kepler,F,58166.977487,-20.6931373600014
3334.49792,3032.714891,19.657991,kepler,F,58166.99792,-2.5394543600014
3334.518354,3039.96696,19.664402,kepler,F,58167.018354,4.71261463999872
3334.538787,3039.893501,19.667575,kepler,F,58167.038787,4.63915563999854
3334.559221,3052.382794,19.676148,kepler,F,58167.059221,17.1284486399986
3334.579655,2882.820611,19.493731,kepler,F,58167.079655,-152.433734360001
3334.600088,3047.218456,19.67579,kepler,F,58167.100088,11.9641106399986
3334.620522,3042.346385,19.662375,kepler,F,58167.120522,7.09203963999835
3334.640955,3061.626849,19.680071,kepler,F,58167.140955,26.3725036399987
3334.661389,3040.031666,19.66335,kepler,F,58167.161389,4.77732063999838
3334.681823,3044.182517,19.663678,kepler,F,58167.181823,8.92817163999871
3334.702256,3033.274007,19.659405,kepler,F,58167.202256,-1.9803383600015
3334.72269,3013.075079,19.63503,kepler,F,58167.22269,-22.1792663600013
3334.763557,3029.067134,19.653836,kepler,F,58167.263557,-6.18721136000158
3334.783991,3027.032135,19.646541,kepler,F,58167.283991,-8.22221036000155
3334.804424,3040.602307,19.653168,kepler,F,58167.304424,5.34796163999863
3334.824858,3028.743278,19.647277,kepler,F,58167.324858,-6.51106736000156
3334.845291,3027.4987,19.644292,kepler,F,58167.345291,-7.75564536000138
3334.865725,3019.440285,19.635712,kepler,F,58167.365725,-15.8140603600014
3334.886159,3022.8972,19.637066,kepler,F,58167.386159,-12.3571453600016
3334.906592,3033.55545,19.637864,kepler,F,58167.406592,-1.69889536000164
3334.927026,3035.438019,19.642708,kepler,F,58167.427026,0.183673639998688
3334.947459,3033.675768,19.646499,kepler,F,58167.447459,-1.57857736000142
3334.967893,3028.643553,19.639777,kepler,F,58167.467893,-6.6107923600016
3335.00876,3033.261519,19.641675,kepler,F,58167.50876,-1.99282636000135
3335.029194,3034.908386,19.647304,kepler,F,58167.529194,-0.345959360001416
3335.049627,3043.616197,19.653787,kepler,F,58167.549627,8.36185163999835
3335.070061,3018.555691,19.628508,kepler,F,58167.570061,-16.6986543600015
3335.090495,3019.312046,19.639183,kepler,F,58167.590495,-15.9422993600015
